address,total_fees,total_txs
cosmos1zz22dfpvw3zqpeyhvhmx944a588fgcalw744ts,"[{""denom"":""uatom"",""amount"":852053458}]",700523
cosmos19pjtx7dah2fquf7udyxjv94h0eraha789k37ff,"[{""denom"":""uatom"",""amount"":172284194}]",681507
cosmos16dc379m0qj64g4pr4nkl7ewak52qy2srf6xl03,"[{""denom"":""uatom"",""amount"":300368947}]",467626
cosmos15md2qvgma8lnvqv67w0umu2paqkqkhege2evgl,"[{""denom"":""uatom"",""amount"":52453943}]",267195
cosmos18xvpj53vaupyfejpws5sktv5lnas5xj274sdwd,"[{""denom"":""uatom"",""amount"":7259819}]",147411
cosmos1yeac5tgm4mqwl4fyrqp34s0gq5fy8ugxcj76vc,"[{""denom"":""uatom"",""amount"":142023552}]",140357
cosmos1032k3vtuqymk3lfu9zjkeqwzptvjqwsug2vlgs,"[{""denom"":""uatom"",""amount"":98783306}]",109101
cosmos1tctqykwxyypr475mdnd83kc643tyca63ta7efh,"[{""denom"":""uatom"",""amount"":30351511}]",105042
cosmos1c3cy3wzzz3698ypklvh7shksvmefj69xhm89z2,"[{""denom"":""uatom"",""amount"":21889101}]",103581
cosmos1r2sagg48glr3nvtspf4gsa22pv3mvyhx56695g,"[{""denom"":""uatom"",""amount"":1700156030}]",86378
cosmos1av54qcmavhjkqsd67cf6f4cedqjrdeh7ed86fc,"[{""denom"":""uatom"",""amount"":34298536}]",69141
cosmos1yvejj22t78s2vfk7slty2d7fs5lkc8rnnt3j9u,"[{""denom"":""uatom"",""amount"":19405207}]",65390
cosmos148zzqgulnly3wgx35s5f0z4l4vwf30tj6nwel3,"[{""denom"":""uatom"",""amount"":55398209}]",58133
cosmos1p4zdymjq0jna478v96kjwn8glcuvkmtq234tz5,"[{""denom"":""uatom"",""amount"":1390331}]",44397
cosmos1n6j7gnld9yxfyh6tflxhjjmt404zruuaf73t08,"[{""denom"":""uatom"",""amount"":11666323}]",42086
cosmos1m7m26sr22thnlwwywfyf2tvu9vlqjdtrzdpkh2,"[{""denom"":""uatom"",""amount"":170705621}]",39793
cosmos1wwxeusrluapjewppth29mp0dn6d8kukpa0l4zx,"[{""denom"":""uatom"",""amount"":69583693}]",30793
cosmos1nh7uhzuddfs3ddy5a8xc4kk5gawz75gdww5ydu,"[{""denom"":""uatom"",""amount"":1312530250}]",28799
cosmos18xkav82x6um8v4xpgy26ea7zqyyz0zv8667e7h,"[{""denom"":""uatom"",""amount"":114586535}]",26614
cosmos1083svrca4t350mphfv9x45wq9asrs60cg0hunp,"[{""denom"":""uatom"",""amount"":24740599}]",24943
cosmos18xrruhq5r246mwk0yj9elnn3mte8xa9uq4mdvu,"[{""denom"":""uatom"",""amount"":81129491}]",23710
cosmos1dlk7umgglp5rets62yss2suuywp53vytqp02a7,"[{""denom"":""uatom"",""amount"":8164092}]",19822
cosmos1cq444xcucc5dvw7udp57v9rpammqhparmp020m,"[{""denom"":""uatom"",""amount"":13396162}]",18209
cosmos1udcdc278lsaawuznfk7g00vn9n5cl6yzzsrk0c,"[{""denom"":""uatom"",""amount"":0}]",16782
cosmos1zgmfjq86snl92u6zuxg4qlwt7f0ds3atwct9yz,"[{""denom"":""uatom"",""amount"":395693}]",16513
cosmos1hl63n053zz324kwfrevzc5y33f8a9llqkl6gzr,"[{""denom"":""uatom"",""amount"":1725060}]",15408
cosmos1mjq48r6435aewerpruwc8up3tz3rzan2ve7hp4,"[{""denom"":""uatom"",""amount"":978896}]",14195
cosmos1fdtz9rl0d8yvd0e3np74gj5an3r39l99pd8duv,"[{""denom"":""uatom"",""amount"":0}]",14087
cosmos1ylchv523h7qnpwvul0a7w93mvn5z7zvp89uzms,"[{""denom"":""uatom"",""amount"":5433982}]",13417
cosmos1evdjzy3w9t2yu54w4dhc2cvrlc2fvnpts7qstc,"[{""denom"":""uatom"",""amount"":5374860}]",12732
cosmos1yevlp8pu8c5jq75kjyvryjjtylpa7m0rtux7h6,"[{""denom"":""uatom"",""amount"":14185304}]",12571
cosmos14s62ejy6lj5vae3ylcsenen9d7q8ew958reewe,"[{""denom"":""uatom"",""amount"":106233161}]",12541
cosmos1nyp3s484a752tuas8v2v04l6uvj4uzalyhpjkr,"[{""denom"":""uatom"",""amount"":1475045}]",10958
cosmos1t0khldzm22mk4wvcadw789drmkzawe9ah69upp,"[{""denom"":""uatom"",""amount"":49841584}]",10731
